,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
399,43,232,900,2.83
400,696,709,660,2.14
401,537,763,720,2.11
402,436,594,240,0.43
403,700,573,360,1
404,272,77,720,2.01
405,649,662,300,0.75
406,809,792,480,1.66
407,39,564,900,2.61
408,263,199,480,0.71
409,64,68,540,1.17
410,436,71,360,1.04
411,639,302,540,1.72
412,132,203,600,1.47
413,689,772,780,3.03
414,232,68,300,0.62
415,384,157,240,0.3
416,666,216,480,1.52
417,189,115,960,2.83
418,386,234,780,2.06
419,789,787,240,0.79
420,17,213,1020,2.8
421,581,223,1620,5.28
422,562,291,960,2.73
423,103,626,600,2.19
424,459,695,960,3.94
425,652,571,360,1.61
426,52,123,300,0.83
427,668,671,660,2.93
428,52,140,300,0.62
429,64,654,900,2.59
430,772,3,1500,4.29
431,168,682,540,1.83
432,587,154,720,2.01
433,14,65,360,0.74
434,329,28,480,1.57
435,411,820,360,0.6
436,763,470,420,1.45
437,39,295,840,2.52
438,679,83,1320,4.85
439,312,95,1260,4.36
440,593,135,300,1.03
441,199,815,840,2.19
442,298,17,1020,2.87
443,431,25,420,1.09
444,218,768,600,2.18
445,541,300,480,1.8
446,180,248,480,1.76
447,290,382,600,1.79
448,166,595,780,2.95
449,64,273,480,1.27
450,294,148,180,0.33
451,287,358,300,0.97
452,729,739,420,1.39
453,658,216,420,1.51
454,237,134,240,0.38
455,402,133,720,2.57
456,14,227,240,0.57
457,721,399,780,2.88
458,191,300,360,1.2
459,579,183,1020,3.68
460,39,732,720,1.69
461,671,729,240,0.44
462,335,501,1380,4.07
463,67,1,360,0.93
464,773,272,480,1.08
465,361,556,1620,5.21
466,11,431,360,1.03
467,626,727,240,0.85
468,251,446,540,1.45
469,303,404,300,1.15
470,436,11,300,0.83
471,590,247,240,0.25
472,282,487,600,1.9
473,266,638,780,3.1
474,378,290,720,2.45
475,52,154,960,2.52
476,183,155,1020,3.78
477,356,400,840,2.59
478,625,596,780,2.93
479,492,206,420,1.28
480,217,591,1740,8.37
481,253,588,180,0.55
482,55,427,360,0.81
483,14,24,420,1.2
484,106,126,1380,3.05
485,646,102,1080,3.6
486,488,552,300,0.59
487,615,682,360,1.41
488,85,272,660,2.32
489,695,55,600,2.04
490,359,333,780,3.38
491,196,104,540,1.47
492,601,647,480,1.57
493,727,765,240,0.78
494,593,126,420,1.69
495,565,206,300,0.32
496,263,174,660,2.15
497,159,356,840,2.71
498,771,566,360,1.34
499,650,379,240,0.76
500,209,671,660,2.4
501,481,510,480,2.41
502,7,650,780,2.8
503,202,46,300,0.39
504,17,587,780,2.09
505,275,48,420,0.99
506,83,183,900,2.89
507,368,299,540,1.36
508,551,554,360,1.41
509,412,5,900,3.31
510,624,772,240,0.69
511,219,673,600,2.69
512,340,421,480,1.35
513,14,141,660,1.9
514,421,542,1080,4.12
515,192,264,960,2.32
516,356,163,240,0.72
517,660,696,240,0.78
518,85,136,660,2.19
519,104,449,480,1.36
520,49,330,600,2.02
521,515,177,900,3.74
522,733,762,420,1.24
523,573,105,660,2.48
524,448,28,1800,7.17
525,680,345,360,1.01
526,191,303,240,0.21
527,115,465,660,1.95
528,224,47,360,1.08
529,4,88,480,1.58
530,517,499,360,1.66
