,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
90,546,347,900,2.29,£7-9
91,374,190,780,1.84,£6-8
92,393,87,1140,1.6,£6-9
93,498,32,1080,3.06,£8-11
94,478,564,1500,3.88,£10-13
95,248,356,600,0.96,£5-6
96,333,103,360,0.43,£5-6
97,762,383,1080,1.34,£6-8
98,517,531,180,0.46,£5-6
99,218,638,780,2.29,£6-9
100,540,19,480,0.86,£5-6
101,479,116,2820,4.3,£13-18
102,214,65,240,0.23,£5-6
103,248,527,900,2.51,£7-9
104,215,107,360,0.84,£5-6
105,124,541,540,1.36,£5-7
106,547,551,240,0.74,£5-6
107,602,764,600,1.78,£5-8
108,737,143,840,2.22,£6-9
109,411,331,2040,3.35,£10-14
110,663,535,1140,4.12,£9-13
111,93,101,1500,2.2,£8-11
112,584,150,720,2.2,£6-8
113,361,251,1860,3.39,£10-14
114,215,71,420,0.7,£5-6
115,737,618,240,0.34,£5-6
116,729,671,240,0.44,£5-6
117,126,101,360,0.63,£5-6
118,124,732,1920,3.81,£11-14
119,460,492,300,0.7,£5-6
120,535,457,360,0.62,£5-6
121,737,615,540,1.4,£5-7
122,87,132,540,1.09,£5-6
123,638,688,780,2.33,£6-9
124,762,354,720,0.79,£5-6
125,146,651,840,2.59,£7-9
126,793,513,2220,3.77,£11-15
127,720,2,840,2.05,£6-9
128,190,193,1140,2.49,£7-10
129,731,781,900,2.26,£7-9
130,70,319,900,1.47,£6-8
131,726,177,720,2.26,£6-9
132,699,254,900,2.85,£7-10
133,794,308,1140,3.06,£8-11
134,197,82,1020,1.61,£6-9
135,202,236,420,0.91,£5-6
136,335,135,960,2,£6-9
137,780,267,960,2.89,£7-10
138,77,159,1020,1.62,£6-8
139,666,293,240,0.23,£5-6
140,80,820,600,1.31,£5-7
141,534,480,900,2.42,£7-9
142,256,27,420,0.43,£5-6
143,180,396,420,0.76,£5-6
144,392,128,240,0.55,£5-6
145,199,27,840,1.29,£5-8
146,310,270,240,0.65,£5-6
147,507,32,660,1.43,£5-7
148,295,321,360,0.89,£5-6
149,573,373,480,1.44,£5-7
150,254,228,1920,3,£10-13
151,39,78,720,1.12,£5-7
152,652,736,240,0.51,£5-6
153,639,430,780,1.64,£6-8
154,138,191,300,0.79,£5-6
155,220,53,1080,2.19,£7-10
156,588,71,900,1.66,£6-8
157,574,64,1680,3.81,£10-14
158,362,34,300,0.76,£5-6
159,358,102,1560,2.81,£9-12
160,443,570,660,2.48,£6-9
161,12,593,720,1.26,£5-7
162,38,681,840,2.6,£7-10
163,524,248,600,0.92,£5-6
164,515,667,300,0.81,£5-6
165,111,733,240,0.55,£5-6
166,395,356,360,0.84,£5-6
167,478,458,720,1.92,£6-8
168,14,141,1200,1.97,£7-10
169,729,737,360,0.94,£5-6
170,615,671,300,0.9,£5-6
171,288,191,360,1.17,£5-6
172,613,634,300,0.83,£5-6
173,17,71,540,1.24,£5-6
174,66,263,840,1.39,£5-8
175,389,395,1020,1.77,£6-9
176,719,326,840,2.49,£7-9
177,136,278,840,1.25,£5-7
178,108,27,1140,1.89,£7-9
179,374,15,1020,2.11,£7-9
180,325,583,720,1.02,£5-7
181,224,105,240,0.15,£5-6
182,290,228,1440,2.82,£8-12
183,242,227,960,1.95,£6-9
184,213,333,1020,2.51,£7-10
185,130,134,300,0.62,£5-6
186,459,553,480,1.69,£5-7
187,92,125,360,0.32,£5-6
188,795,363,900,2.63,£7-10
189,392,158,780,1.62,£6-8
190,244,192,840,0.7,£5-6
191,75,126,480,1.17,£5-6
192,335,14,1380,2.77,£8-11
193,485,399,720,1.78,£6-8
194,136,154,840,1.81,£6-8
195,222,404,660,1.6,£5-7
196,211,605,1140,2.36,£7-10
197,789,785,240,0.22,£5-6
198,122,374,1800,3.36,£10-13
199,480,33,780,1.81,£6-8
200,356,207,660,1.3,£5-7
201,321,603,900,2.69,£7-10
202,589,737,540,1.34,£5-7
203,187,99,1020,2.48,£7-10
